지점번호,지점명,일시,평균습도(%rh),최저습도(%rh),,,,,
108,서울,Oct.08,62,22,,,,,
108,서울,Nov.08,58,9,,,,,
108,서울,Dec.08,56,16,,,,,
108,서울,Jan.09,50,14,,,,,
108,서울,Feb.09,57,12,,,,,
108,서울,Mar.09,52,13,,,,,
108,서울,Apr.09,54,13,,,,,
108,서울,May.09,59,15,,,,,
108,서울,Jun.09,66,18,,,,,
108,서울,Jul.09,76,36,,,,,
108,서울,Aug.09,69,24,,,,,
108,서울,Sep.09,64,23,,,,,
108,서울,Oct.09,62,23,,,,,
108,서울,Nov.09,64,19,,,,,
108,서울,Dec.09,60,15,,,,,
108,서울,Jan.10,65,26,,,,,
108,서울,Feb.10,59,14,,,,,
108,서울,Mar.10,59,13,,,,,
108,서울,Apr.10,54,12,,,,,
108,서울,May.10,62,21,,,,,
108,서울,Jun.10,62,12,,,,,
108,서울,Jul.10,74,32,,,,,
108,서울,Aug.10,78,26,,,,,
108,서울,Sep.10,72,25,,,,,
108,서울,Oct.10,61,14,,,,,
108,서울,Nov.10,55,11,,,,,
108,서울,Dec.10,56,17,,,,,
108,서울,Jan.11,54,19,,,,,
108,서울,Feb.11,55,15,,,,,
108,서울,Mar.11,51,12,,,,,
108,서울,Apr.11,54,10,,,,,
108,서울,May.11,57,15,,,,,
108,서울,Jun.11,67,19,,,,,
108,서울,Jul.11,79,30,,,,,
108,서울,Aug.11,74,30,,,,,
108,서울,Sep.11,58,13,,,,,
108,서울,Oct.11,55,15,,,,,
108,서울,Nov.11,61,14,,,,,
108,서울,Dec.11,51,15,,,,,
108,서울,Jan.12,49,12,,,,,
108,서울,Feb.12,43,11,,,,,
108,서울,Mar.12,52,9,,,,,
108,서울,Apr.12,54,9,,,,,
108,서울,May.12,48,11,,,,,
108,서울,Jun.12,54,21,,,,,
108,서울,Jul.12,74,38,,,,,
108,서울,Aug.12,68,31,,,,,
108,서울,Sep.12,65,26,,,,,
108,서울,Oct.12,58,14,,,,,
108,서울,Nov.12,57,15,,,,,
