날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
1910.1.1,108,-5.2,-6.6,0.6
1910.1.2,108,-7.2,-9.4,-4.3
1910.1.3,108,-1.2,-8.2,3.4
1910.1.4,108,3.2,0.4,8
1910.1.5,108,2.5,-0.3,7.5
1910.1.6,108,3.7,-0.3,7.7
1910.1.7,108,3,-0.1,6.8
1910.1.8,108,1.6,0.5,5.7
1910.1.9,108,-0.3,-2,1.9
1910.1.10,108,1.2,-2.8,4.5
1910.1.11,108,3.1,0.1,7.4
1910.1.12,108,1.4,-1.7,5.4
1910.1.13,108,2.4,-1.7,6.9
1910.1.14,108,2.9,-0.3,6.6
1910.1.15,108,-3.1,-6.7,-0.3
1910.1.16,108,-7.8,-9.9,-5.2
1910.1.17,108,-8.5,-11.3,-6
1910.1.18,108,-8,-12.4,-3
1910.1.19,108,-4.5,-10.9,-0.1
1910.1.20,108,1.4,-2.2,4.6
1910.1.21,108,1,0.1,2.8
1910.1.22,108,-0.3,-2.3,1.3
1910.1.23,108,-4.5,-7.2,0.6
1910.1.24,108,-5.9,-10.3,-1.2
1910.1.25,108,-5.4,-10.6,-0.6
1910.1.26,108,-2.3,-7.1,2.8
1910.1.27,108,-0.3,-3.7,3.3
1910.1.28,108,-0.2,-3.7,3.2
1910.1.29,108,-2.1,-4.8,0.1
1910.1.30,108,-15.2,-18.5,-1.6
1910.1.31,108,-15.4,-19.9,-11
1910.2.1,108,-15.3,-17.8,-11.5
1910.2.2,108,-12.8,-19.6,-7.4
1910.2.3,108,-5.1,-8.9,0.6
1910.2.4,108,-8.3,-13.1,-3.4
1910.2.5,108,-4.8,-10.3,1.2
1910.2.6,108,-2.1,-8,3.2
1910.2.7,108,0.8,-2.3,5
1910.2.8,108,-1.6,-5.9,4
1910.2.9,108,-4.1,-8.4,1.3
1910.2.10,108,-8.3,-12.2,-3.7
1910.2.11,108,-7.2,-12,-2
1910.2.12,108,-5.1,-11.8,0.2
1910.2.13,108,-3.2,-6.2,0.9
1910.2.14,108,-3.1,-10.1,2.8
1910.2.15,108,-0.7,-6.7,6
1910.2.16,108,0.3,-2.2,4.3
1910.2.17,108,-0.1,-4,5.4
1910.2.18,108,-1.2,-6.8,5.3
1910.2.19,108,-2,-5.5,2.6
1910.2.20,108,-4.9,-7.3,-1
1910.2.21,108,-4.2,-8.8,1.5
1910.2.22,108,-3.7,-9.8,2.5
1910.2.23,108,-2.2,-8.4,4.4
1910.2.24,108,0.3,-6.8,7.8
1910.2.25,108,3,-0.9,8.3
1910.2.26,108,1.2,-3.4,5.4
1910.2.27,108,-1.4,-6.9,4.3
1910.2.28,108,0.4,-4.8,7.3
1910.3.1,108,-0.2,-6.2,7.1
1910.3.2,108,-0.6,-3.9,3.5
1910.3.3,108,-1.6,-7.3,2.7
1910.3.4,108,-3.7,-6.2,1
1910.3.5,108,-2.9,-8.3,0.9
1910.3.6,108,-3.1,-8.6,2
1910.3.7,108,-1.4,-8,5.4
1910.3.8,108,-0.1,-5.3,5.5
1910.3.9,108,-0.8,-7.4,6.1
1910.3.10,108,0.6,-6.7,8
1910.3.11,108,0.3,-2.7,3.8
1910.3.12,108,-0.2,-5.1,5.7
1910.3.13,108,0.4,-6.4,7.8
1910.3.14,108,5.9,-4.1,14.7
1910.3.15,108,6.6,0.5,10.6
1910.3.16,108,1.7,-1.2,5.5
1910.3.17,108,1.3,-4.3,8.6
1910.3.18,108,1.6,-3.3,7.3
1910.3.19,108,4.8,-1.2,11.6
1910.3.20,108,6.6,2.5,12.3
1910.3.21,108,6.5,0.9,11
1910.3.22,108,6.5,4,10.8
1910.3.23,108,3.9,0.8,8.4
1910.3.24,108,2.9,-3.4,9.1
1910.3.25,108,9.1,4.1,15
1910.3.26,108,7.4,4.5,11.2
1910.3.27,108,7.7,3.1,13
1910.3.28,108,6.2,1.7,11
1910.3.29,108,6.5,2.1,11.4
1910.3.30,108,2.2,-1.1,5.8
1910.3.31,108,1.9,-3.7,7
1910.4.1,108,4.1,-0.3,7.8
1910.4.2,108,5.1,2.7,10.4
1910.4.3,108,4.8,-0.6,11.5
1910.4.4,108,4.8,-0.5,11
1910.4.5,108,5.5,-1.2,13.2
1910.4.6,108,7.6,-1.4,16.9
1910.4.7,108,10.2,2.8,17.3
1910.4.8,108,11,7.5,16.5
1910.4.9,108,10.6,6.7,17
1910.4.10,108,9.1,4.8,14.2
1910.4.11,108,9.4,1.9,16.7
1910.4.12,108,8,0.5,16
1910.4.13,108,8.5,2.7,15.3
1910.4.14,108,2,-0.2,7.3
1910.4.15,108,8.1,-1.8,17.3
1910.4.16,108,13.8,5.6,23
1910.4.17,108,16.1,10.4,22.3
1910.4.18,108,12.6,10,17.9
1910.4.19,108,13.8,6,22.2
1910.4.20,108,15.4,9.2,22.1
1910.4.21,108,11.1,9.6,14.5
1910.4.22,108,12.9,7.5,19.8
1910.4.23,108,14.7,7.8,22.7
1910.4.24,108,10.8,9.3,14.1
1910.4.25,108,11.3,7.3,17
1910.4.26,108,10.5,3.7,17.7
1910.4.27,108,13.1,4.3,20.7
1910.4.28,108,12.8,7.7,18.7
1910.4.29,108,8.3,3,15.3
1910.4.30,108,10.6,2.9,19.1
1910.5.1,108,14.4,8.4,19.1
1910.5.2,108,13.9,8.4,19.9
1910.5.3,108,14.3,8.4,21.7
1910.5.4,108,11.5,7.8,16.3
1910.5.5,108,14.1,7.5,21.6
1910.5.6,108,15.3,7.1,25.4
1910.5.7,108,14.2,8.7,20.6
1910.5.8,108,15.7,11.4,22
1910.5.9,108,18.4,11.1,26
1910.5.10,108,19.7,14.3,27.4
1910.5.11,108,18.5,12.6,28
1910.5.12,108,16.4,11.4,24.1
1910.5.13,108,14.9,10.9,22.8
1910.5.14,108,14.8,8.7,21.2
1910.5.15,108,17.7,11.6,26.2
1910.5.16,108,15,11.3,21
1910.5.17,108,13,8.5,22
1910.5.18,108,15,10.3,22
1910.5.19,108,13.8,5.9,22.7
1910.5.20,108,15.2,7.4,24.3
1910.5.21,108,16.1,7.9,25.3
1910.5.22,108,16.9,8.7,26.7
1910.5.23,108,17.3,10,26.5
1910.5.24,108,14.5,10.7,20.2
1910.5.25,108,15.9,7.5,25
1910.5.26,108,18.3,10.5,27.5
1910.5.27,108,19.9,13.5,29.1
1910.5.28,108,21.3,12,31
1910.5.29,108,19.4,13.3,28.9
1910.5.30,108,19.4,13.9,27.2
1910.5.31,108,21.8,13.7,30.6
1910.6.1,108,18.9,15.6,23.5
1910.6.2,108,18.3,14.8,24.3
1910.6.3,108,16.9,14.4,20.5
1910.6.4,108,18.5,13.3,23.4
1910.6.5,108,15.8,12.4,20.2
1910.6.6,108,17.6,14.7,22.3
1910.6.7,108,17.9,14.2,23.1
1910.6.8,108,19,13.2,26.3
1910.6.9,108,20.3,13.4,27.6
1910.6.10,108,20,13.7,26.7
1910.6.11,108,22.7,15.5,31.2
1910.6.12,108,20.1,17.4,23.9
1910.6.13,108,18.9,15.3,24.2
1910.6.14,108,20.2,14.9,26.1
1910.6.15,108,21.4,17.8,26.5
1910.6.16,108,21.5,19,26
1910.6.17,108,20.9,18.1,26.5
1910.6.18,108,24.5,17.6,31.5
1910.6.19,108,18.6,17,22.8
1910.6.20,108,17.9,15,22.5
1910.6.21,108,19.4,16.3,24.5
1910.6.22,108,18.4,17.3,20.4
1910.6.23,108,20.1,15.6,27.2
1910.6.24,108,21.4,14.4,29.3
1910.6.25,108,22,17.6,28.3
1910.6.26,108,19.3,16.9,23.7
1910.6.27,108,18.6,14.6,24.8
1910.6.28,108,19,12.8,25.3
1910.6.29,108,20.6,16.6,25.1
1910.6.30,108,24.2,17.7,31.5
1910.7.1,108,23.2,18.7,28.8
1910.7.2,108,17.8,15.9,20
1910.7.3,108,21.2,17.4,25.9
1910.7.4,108,21.3,16.3,27.4
1910.7.5,108,22.2,17.7,27.5
1910.7.6,108,21.1,19.2,22.9
1910.7.7,108,23.3,21.4,26.3
1910.7.8,108,22.8,20.7,26.2
1910.7.9,108,21.7,19.4,24.8
1910.7.10,108,20.4,18.7,24.4
1910.7.11,108,22.6,20.1,27
1910.7.12,108,24.2,19.9,29.7
1910.7.13,108,23.5,19.8,28.3
1910.7.14,108,21.6,19.7,24.3
1910.7.15,108,23.2,20,27.8
1910.7.16,108,19.5,18.8,22.8
1910.7.17,108,21.7,18.4,24.3
1910.7.18,108,22.3,21.1,23.8
1910.7.19,108,24.7,21,30.6
1910.7.20,108,22.3,20.9,25.6
1910.7.21,108,23.5,20.7,28
1910.7.22,108,23,21.2,26.3
1910.7.23,108,24.8,20.9,28.9
1910.7.24,108,24.3,21,28.5
1910.7.25,108,25.4,22.1,30.3
1910.7.26,108,24.3,23.4,25.8
1910.7.27,108,25.1,23.4,28
1910.7.28,108,26.8,22.3,32.6
1910.7.29,108,28,25,32.4
1910.7.30,108,28.4,24.9,33.3
1910.7.31,108,28,25.2,32.1
1910.8.1,108,27,23.5,32
1910.8.2,108,26.8,23.7,31.6
1910.8.3,108,26.8,22.8,31.4
1910.8.4,108,25.6,23.6,31.2
1910.8.5,108,26.8,23.2,32
1910.8.6,108,25.7,22.7,29.9
1910.8.7,108,24,20.2,29
1910.8.8,108,24.7,20.2,30.3
1910.8.9,108,25.3,20.5,30.6
1910.8.10,108,24.5,20.1,30.6
1910.8.11,108,25.3,20.6,31.5
1910.8.12,108,24.9,21.5,31
1910.8.13,108,23.4,20.2,30.6
1910.8.14,108,23.6,19.2,29.5
1910.8.15,108,21.9,19.3,27.4
1910.8.16,108,22.7,19.5,28.1
1910.8.17,108,22.3,19.4,27.4
1910.8.18,108,22.2,16.7,28.4
1910.8.19,108,20.4,16.8,25.2
1910.8.20,108,23.6,17.3,29.5
1910.8.21,108,23.1,21,26.5
1910.8.22,108,25.4,22.6,29
1910.8.23,108,25.4,22.6,28.9
1910.8.24,108,25.1,22.4,29
1910.8.25,108,25.6,20.8,31.5
1910.8.26,108,25.1,22.7,31.2
1910.8.27,108,23,21.8,26
1910.8.28,108,21.7,19.4,23.9
1910.8.29,108,22.9,18.2,27.8
1910.8.30,108,23.4,20.7,29
1910.8.31,108,23.3,21.1,25.4
1910.9.1,108,23.4,22,24.8
1910.9.2,108,21.4,19.2,25.3
1910.9.3,108,20.5,17.1,24.7
1910.9.4,108,20.1,17.7,23
1910.9.5,108,19.5,17,24
1910.9.6,108,20.4,15.7,26.4
1910.9.7,108,19.7,14.2,25.6
1910.9.8,108,21.5,16.3,27
1910.9.9,108,21.1,17,26.3
1910.9.10,108,21.6,18.5,26.3
1910.9.11,108,19.9,17.6,25
1910.9.12,108,18.3,15.2,22.4
1910.9.13,108,18.7,15.3,23.9
1910.9.14,108,19.2,14.7,24.4
1910.9.15,108,17.7,10.4,25.5
1910.9.16,108,18.3,11.6,25.5
1910.9.17,108,19.7,14.2,26.8
1910.9.18,108,20.3,14.5,26.8
1910.9.19,108,19.8,16.7,24.6
1910.9.20,108,18.7,14.3,24.2
1910.9.21,108,17,11,24.4
1910.9.22,108,19.2,14.9,25.7
1910.9.23,108,20,15.2,25.6
1910.9.24,108,19.4,17,23.2
1910.9.25,108,14.9,11.8,17.4
1910.9.26,108,16.2,10.4,20.5
1910.9.27,108,17.6,13,24
1910.9.28,108,16.2,10.2,23.7
1910.9.29,108,16.4,11.9,23.5
1910.9.30,108,16.7,12.4,22.2
1910.10.1,108,18.1,13.7,22.9
1910.10.2,108,15.7,8.3,23.5
1910.10.3,108,15.8,9.8,24.1
1910.10.4,108,15.3,9.6,22.5
1910.10.5,108,15.4,8.5,23.2
1910.10.6,108,16.5,10,22.7
1910.10.7,108,17.6,14.9,22.4
1910.10.8,108,15.4,10.4,20.5
1910.10.9,108,9.4,6.9,13.4
1910.10.10,108,7.3,1.3,15.3
1910.10.11,108,10.1,1.8,19.1
1910.10.12,108,15.4,7.9,21.9
1910.10.13,108,14.1,10.6,20.3
1910.10.14,108,13.5,6.7,21.8
1910.10.15,108,14.2,6.3,23.8
1910.10.16,108,12.9,5.4,21.5
1910.10.17,108,13.1,6,24
1910.10.18,108,13.5,5.4,22.6
1910.10.19,108,14.3,8,20.4
1910.10.20,108,16.3,10.4,22.5
1910.10.21,108,15.1,9.8,22
1910.10.22,108,14.5,7,23.4
1910.10.23,108,15.2,7.3,23.5
1910.10.24,108,12.5,5.5,19
1910.10.25,108,10.4,2.3,20
1910.10.26,108,11.2,4.8,20.6
1910.10.27,108,11.5,4.1,20.8
1910.10.28,108,11.5,3.7,21
1910.10.29,108,11.9,3.7,20.1
1910.10.30,108,13,4.5,23
1910.10.31,108,14.1,7.3,19.6
1910.11.1,108,15,10.4,20.2
1910.11.2,108,11.8,6.7,18.4
1910.11.3,108,4.8,0.2,10
1910.11.4,108,3.6,-4.1,12
1910.11.5,108,8,1.4,14.3
1910.11.6,108,7,1.3,15.9
1910.11.7,108,8.6,0.2,18.2
1910.11.8,108,10.4,4.3,17.7
1910.11.9,108,10.9,5.1,15.7
1910.11.10,108,6.6,4.2,10.5
1910.11.11,108,9.3,6.2,12.7
1910.11.12,108,6.9,1.7,13
1910.11.13,108,1.8,-2.1,8
1910.11.14,108,5.4,-1.7,11
1910.11.15,108,7.2,4.5,9
1910.11.16,108,0,-4.2,6.7
1910.11.17,108,-1.9,-4.6,0.8
1910.11.18,108,-2.1,-4.7,1.3
1910.11.19,108,-3.3,-8.4,2.5
1910.11.20,108,2.5,-3.9,6.9
1910.11.21,108,3.6,-1.8,11.3
1910.11.22,108,5.5,-0.8,12
1910.11.23,108,6.8,3.4,9.8
1910.11.24,108,4.5,-0.5,11
1910.11.25,108,4.4,-1.6,11.3
1910.11.26,108,5,-0.3,11.1
1910.11.27,108,3.5,-1.6,10.5
1910.11.28,108,5.3,0.5,7.6
1910.11.29,108,7.5,3.6,10.7
1910.11.30,108,6.3,5.1,8.2
1910.12.1,108,-1.3,-6.8,5.1
1910.12.2,108,-7,-9.9,-3.8
1910.12.3,108,-3.9,-9.2,-0.6
1910.12.4,108,-2.5,-4.7,1.7
1910.12.5,108,-2.2,-4.7,1.6
1910.12.6,108,-1.8,-6.6,3.6
1910.12.7,108,-3.4,-8.7,2.5
1910.12.8,108,-5,-9.6,0.2
1910.12.9,108,-9.6,-13,-4.7
1910.12.10,108,-11.6,-14.8,-8.2
1910.12.11,108,-13.6,-16.8,-9.7
1910.12.12,108,-11.6,-16.8,-5.7
1910.12.13,108,-5.5,-13,-0.2
1910.12.14,108,-5.7,-10.8,1.3
1910.12.15,108,-4.9,-12,3.1
1910.12.16,108,-3.3,-7.6,0.6
1910.12.17,108,-5.5,-12.6,1.1
1910.12.18,108,-2.5,-7.9,2.2
1910.12.19,108,1.7,-2.8,5.5
1910.12.20,108,-2.3,-8.8,1.5
1910.12.21,108,-7.3,-10.9,-2.9
1910.12.22,108,-6.1,-13.5,-0.2
1910.12.23,108,-3,-7.9,1.6
1910.12.24,108,-2.8,-11.1,3.6
1910.12.25,108,-0.5,-4.1,0.6
1910.12.26,108,-2,-4.8,0.8
1910.12.27,108,0.4,-5.7,5.8
1910.12.28,108,-4.6,-7.6,-1.2
1910.12.29,108,-3,-7.8,2.5
1910.12.30,108,-4.6,-10.8,1.5
1910.12.31,108,-8.1,-11.4,-2.3
1911.1.1,108,-10.1,-14.2,-6.5
1911.1.2,108,-12.5,-19.7,-5.9
1911.1.3,108,-4.3,-10.2,-1.4
1911.1.4,108,0.8,-2.6,2.2
1911.1.5,108,-3.9,-8.7,1.7
1911.1.6,108,-9,-11.8,-5.6
1911.1.7,108,-6.8,-12.5,-3.8
1911.1.8,108,-2.5,-6.2,2
1911.1.9,108,-4.3,-10.5,0.7
1911.1.10,108,-0.8,-5.5,5.5
1911.1.11,108,-6.3,-13.4,-1.2
1911.1.12,108,-15.6,-18,-11.6
1911.1.13,108,-15.3,-21.5,-9.2
1911.1.14,108,-5.4,-13.2,-0.3
1911.1.15,108,-6.4,-10.9,-1.3
1911.1.16,108,-6,-13,0.3
1911.1.17,108,-5.8,-12.5,0
1911.1.18,108,-5,-10.3,0.5
1911.1.19,108,-5.7,-12.9,1.7
1911.1.20,108,-5.8,-13.2,2.4
1911.1.21,108,-3.3,-9.2,1.1
1911.1.22,108,-9.2,-11.7,-1
1911.1.23,108,-13.6,-17.9,-6.9
1911.1.24,108,-10.8,-19.7,-3
1911.1.25,108,-4,-8.2,-1.6
1911.1.26,108,1.2,-2.9,3.7
1911.1.27,108,2.5,0.9,4.7
1911.1.28,108,3.7,1.6,7.5
1911.1.29,108,3,-1.6,8.8
1911.1.30,108,6,0.4,8.2
1911.1.31,108,1.4,0,7.1
1911.2.1,108,0.9,-0.9,4.1
1911.2.2,108,-4.6,-7.2,-0.1
1911.2.3,108,-4,-9,-0.2
1911.2.4,108,-2.3,-5.6,1.8
1911.2.5,108,-2.1,-5.3,3.5
1911.2.6,108,-4.4,-10,1.2
1911.2.7,108,-1.6,-8.2,3.5
1911.2.8,108,0.4,-3.2,3.8
1911.2.9,108,-1.9,-6.7,4.3
1911.2.10,108,-0.5,-5.6,5.2
1911.2.11,108,1,-2.3,4.6
1911.2.12,108,-1.2,-6.6,5.4
1911.2.13,108,2.3,-1.4,6
1911.2.14,108,0.8,0,3.5
1911.2.15,108,-2.2,-5.9,0.9
1911.2.16,108,-6.1,-8.7,-2.2
1911.2.17,108,-6.9,-10.3,-3
1911.2.18,108,-5.8,-11.2,-0.2
1911.2.19,108,-3,-9.6,3.9
1911.2.20,108,-1.9,-8.2,4.1
1911.2.21,108,-1.1,-6.6,4.5
1911.2.22,108,0.3,-3.1,5.9
1911.2.23,108,3,-0.9,7
1911.2.24,108,2.9,-1.4,8.2
1911.2.25,108,1.3,-4.3,7.4
1911.2.26,108,1.6,-2.3,7
1911.2.27,108,1.4,-3.1,8.8
1911.2.28,108,3.7,-3.1,12.5
1911.3.1,108,0.9,-0.9,2.8
1911.3.2,108,-0.5,-2,1.1
1911.3.3,108,-2.2,-5.3,2.4
1911.3.4,108,1.4,-3.7,6.9
1911.3.5,108,6.1,0.3,9.4
1911.3.6,108,6.1,4.9,7.4
1911.3.7,108,3.1,-0.4,9.5
1911.3.8,108,4.1,0.4,8.9
1911.3.9,108,-0.4,-3.3,4.6
1911.3.10,108,-1.5,-4.4,2.5
1911.3.11,108,1.3,-5.2,9.5
1911.3.12,108,5.6,-1.7,10.3
1911.3.13,108,6.3,4.8,7.9
1911.3.14,108,5.6,3.1,9.4
1911.3.15,108,5,-1.8,10
1911.3.16,108,6,3.8,9.3
1911.3.17,108,6.6,3.3,11.4
1911.3.18,108,3.1,-0.9,7.7
1911.3.19,108,1.9,-2.6,7
1911.3.20,108,1,-2.1,5.2
1911.3.21,108,4.7,-1.8,7.9
1911.3.22,108,8,4.1,13
1911.3.23,108,8.1,1.9,15.3
1911.3.24,108,4,1.3,7.8
1911.3.25,108,5.4,0.4,9.8
1911.3.26,108,5.6,3.5,9.5
1911.3.27,108,5.4,2.8,9
1911.3.28,108,4.5,-1.3,11.5
1911.3.29,108,8.5,-1.1,19.1
1911.3.30,108,4.5,2.3,8.6
1911.3.31,108,4.6,1.6,9
1911.4.1,108,5.2,0.6,9.9
1911.4.2,108,6.4,1.9,11.5
1911.4.3,108,7.2,4.5,11.8
1911.4.4,108,8.6,3.2,14.5
1911.4.5,108,8.9,1.7,17.7
1911.4.6,108,10.2,1.4,19.3
1911.4.7,108,10.1,3.4,16.3
1911.4.8,108,9.3,7.6,11.8
1911.4.9,108,7.9,5.2,10.1
1911.4.10,108,6.5,4.7,8.6
1911.4.11,108,7.9,2.7,14.2
1911.4.12,108,9.9,2.6,18.2
1911.4.13,108,13.3,5.3,24.1
1911.4.14,108,12.2,7.6,19.6
1911.4.15,108,7.3,5.4,11.5
1911.4.16,108,9.7,5,15.7
1911.4.17,108,7.4,5.7,11.7
1911.4.18,108,7.6,3.8,12.8
1911.4.19,108,7.9,1.4,16.8
1911.4.20,108,7,0.3,11
1911.4.21,108,7.7,1.6,15
1911.4.22,108,8.8,1,17.5
1911.4.23,108,14.2,4.5,21.7
1911.4.24,108,14.5,13,17.5
1911.4.25,108,16.6,11.1,23
1911.4.26,108,8.9,5.6,14.3
1911.4.27,108,8.5,3.5,14.1
1911.4.28,108,10,3.9,18.7
1911.4.29,108,11.7,7.3,18
1911.4.30,108,11.3,3.3,19.4
1911.5.1,108,14.6,5.5,22.8
1911.5.2,108,14.4,7,23.2
1911.5.3,108,12,9.7,14.6
1911.5.4,108,15.3,12.5,18.6
1911.5.5,108,12.8,10.8,15.3
1911.5.6,108,10.8,7.2,15.5
1911.5.7,108,11,3.7,18
1911.5.8,108,13,5.9,19.8
1911.5.9,108,15.4,8.2,23.9
1911.5.10,108,17.6,9.1,27.7
1911.5.11,108,16.9,10.4,24
1911.5.12,108,14.6,12,21.5
1911.5.13,108,16,12.5,21
1911.5.14,108,14.9,12.3,19.5
1911.5.15,108,13.5,7.4,21
1911.5.16,108,12.7,5.6,21.1
1911.5.17,108,13.5,6,22.7
1911.5.18,108,15.2,7.8,23.5
1911.5.19,108,16.2,8.4,23.8
1911.5.20,108,16.6,9.7,23.8
1911.5.21,108,17.7,13.3,24
1911.5.22,108,16.7,10,23.5
1911.5.23,108,16.1,8.9,24
1911.5.24,108,16.6,8.3,25.5
1911.5.25,108,17.5,10,26.8
1911.5.26,108,19.9,13,28.3
1911.5.27,108,15.6,13.7,18.8
1911.5.28,108,17.5,11.9,24.3
1911.5.29,108,18.7,12.3,25.5
1911.5.30,108,20.2,13,28.4
1911.5.31,108,20.8,13.8,30
1911.6.1,108,19.7,16.4,25.5
1911.6.2,108,20.8,15,28
1911.6.3,108,17.2,15.7,22.4
1911.6.4,108,16.8,14.1,19.5
1911.6.5,108,18,10.7,25.3
1911.6.6,108,18,12.7,24.4
1911.6.7,108,19.3,15.5,25.6
1911.6.8,108,19.2,12.6,26.2
1911.6.9,108,20.4,12.8,28.5
1911.6.10,108,19.9,13.7,27.8
1911.6.11,108,19.8,13.8,26.8
1911.6.12,108,19.1,13.5,25.8
1911.6.13,108,21.2,15.8,28.7
1911.6.14,108,22.5,14.4,29.3
1911.6.15,108,19.8,16.9,24
1911.6.16,108,20,16.2,25.6
1911.6.17,108,20.3,16.7,24.7
1911.6.18,108,17.7,16.7,18.6
1911.6.19,108,20.9,17.4,26.5
1911.6.20,108,21.2,16.7,27.5
1911.6.21,108,23.1,17.7,30.6
1911.6.22,108,23.5,19.5,30.4
1911.6.23,108,24,19,29.5
1911.6.24,108,23.2,19.2,28.8
1911.6.25,108,19.4,18.3,21.1
1911.6.26,108,20.4,18,25.1
1911.6.27,108,20.6,17.1,26.8
1911.6.28,108,20.5,17.7,25.3
1911.6.29,108,20.3,16.2,26.3
1911.6.30,108,22.2,15.9,29
1911.7.1,108,22,19.2,28
1911.7.2,108,23.4,17.7,29.4
1911.7.3,108,23.5,18.3,29
1911.7.4,108,22.6,17.5,29.3
1911.7.5,108,22.3,16.9,29
1911.7.6,108,21.2,17.2,24.6
1911.7.7,108,20.1,17.2,23.3
1911.7.8,108,21.8,20.7,24.1
1911.7.9,108,23.4,20.6,25.9
1911.7.10,108,23.3,21.3,26.8
1911.7.11,108,23.2,21.3,27.8
1911.7.12,108,23.6,21,25.7
1911.7.13,108,22.9,20.3,28.5
1911.7.14,108,22.5,19.1,28.4
1911.7.15,108,22.8,20.1,25.3
1911.7.16,108,23.9,21.9,26.8
1911.7.17,108,25.3,23.4,28.2
1911.7.18,108,25.7,22.5,31
1911.7.19,108,26.6,23.4,30.7
1911.7.20,108,24.2,22.5,27
1911.7.21,108,25.1,22.4,29
1911.7.22,108,24.6,21,29.4
1911.7.23,108,23.4,19.9,29
1911.7.24,108,23.8,21.7,27.3
1911.7.25,108,23.1,20.9,25.9
1911.7.26,108,23.5,20.2,28.5
1911.7.27,108,23.8,18.6,30.8
1911.7.28,108,24.1,20,30
1911.7.29,108,23.3,20.3,28.5
1911.7.30,108,23.8,19.2,29.9
1911.7.31,108,25.1,20.7,30.8
1911.8.1,108,25.1,21.7,31
1911.8.2,108,24.8,21.6,29
1911.8.3,108,24,19.3,30.5
1911.8.4,108,23.7,19.3,29.5
1911.8.5,108,23,19.7,28.8
1911.8.6,108,23.5,21,27.5
1911.8.7,108,24.2,18,31.4
1911.8.8,108,25.3,19.9,32
1911.8.9,108,27,23.1,33
1911.8.10,108,28.2,24.2,33.8
1911.8.11,108,28.3,24.9,32.9
1911.8.12,108,28.7,25.8,34.5
1911.8.13,108,27.5,23,33.8
1911.8.14,108,25.2,18.5,31.7
1911.8.15,108,25.7,19,32.5
1911.8.16,108,25.3,19.8,32.4
1911.8.17,108,26.4,21.5,33.5
1911.8.18,108,26.7,23.3,32.4
1911.8.19,108,23.9,21.6,28
1911.8.20,108,24.8,19,32.2
1911.8.21,108,24.5,21,30.1
1911.8.22,108,24.7,21.3,30.5
1911.8.23,108,24.1,20.3,30.1
1911.8.24,108,21,18.8,22.8
1911.8.25,108,21.9,20.4,24
1911.8.26,108,22.9,19.7,28.4
1911.8.27,108,22.4,18.4,28.5
1911.8.28,108,25,21.5,29.5
1911.8.29,108,26.3,22.2,31.1
1911.8.30,108,26.4,23.3,31.5
1911.8.31,108,25.1,20.7,31
1911.9.1,108,25.7,21.5,32.8
1911.9.2,108,25.1,19.8,32
1911.9.3,108,25.1,20.7,32
1911.9.4,108,24.9,21.3,30.8
1911.9.5,108,23.7,21.1,28.3
1911.9.6,108,22.9,20.8,27.7
1911.9.7,108,23.4,19,28.7
1911.9.8,108,21.9,17.5,27.2
1911.9.9,108,20.3,14.2,25.5
1911.9.10,108,20,14.7,26.4
1911.9.11,108,20.5,14.5,25.3
1911.9.12,108,19.2,17.2,22.7
1911.9.13,108,19.5,17.1,21.7
1911.9.14,108,20.2,17.2,24.3
1911.9.15,108,19.9,17.2,23.4
1911.9.16,108,19,14.7,22.3
1911.9.17,108,17.1,15.8,19.8
1911.9.18,108,19.5,14.9,25.6
1911.9.19,108,19.8,13.7,27.9
1911.9.20,108,21.2,17.7,26.5
1911.9.21,108,20.3,14.8,27
1911.9.22,108,18.9,13,26
1911.9.23,108,18.3,11,25.4
1911.9.24,108,20.8,16.4,26.7
1911.9.25,108,20.3,18.1,22.7
1911.9.26,108,18.8,17.7,20.1
1911.9.27,108,18.4,15.8,21.2
1911.9.28,108,19.6,14.7,24.7
1911.9.29,108,20.1,16.5,25.3
1911.9.30,108,19.3,12.8,23.9
1911.10.1,108,14.1,8.1,22.9
1911.10.2,108,14.8,9.3,19.3
1911.10.3,108,15.4,12,20.8
1911.10.4,108,15.1,9,22.6
1911.10.5,108,11.6,5.3,20.7
1911.10.6,108,15.6,10,20.4
1911.10.7,108,17,13.9,21.5
1911.10.8,108,15,9.1,20.3
1911.10.9,108,9,6.4,13.2
1911.10.10,108,6.3,0.1,14.6
1911.10.11,108,9.2,1.6,15.4
1911.10.12,108,10.5,8.2,14.5
1911.10.13,108,11.8,5.1,17.4
1911.10.14,108,9.6,4.7,14.3
1911.10.15,108,8.1,1.4,14.7
1911.10.16,108,11.2,7,15.5
1911.10.17,108,11,3.2,17
1911.10.18,108,11.3,4.4,19.2
1911.10.19,108,10.3,3.5,19.7
1911.10.20,108,11.8,4.9,20.3
1911.10.21,108,11.9,6.2,19.9
1911.10.22,108,11.5,3.5,19
1911.10.23,108,12.9,7.7,20.1
1911.10.24,108,12.2,4,19
1911.10.25,108,11.5,7.4,16.2
1911.10.26,108,10.7,4.4,18.8
1911.10.27,108,10.9,6,16.3
1911.10.28,108,9.7,6.2,15.9
1911.10.29,108,7.4,0.1,15
1911.10.30,108,10.4,4.8,16.8
1911.10.31,108,10.4,5,16.8
1911.11.1,108,4.6,1.3,9.6
1911.11.2,108,8,0.2,15
